"dates","titles","end_prices","start_prices","high_prices","low_prices","amount"
"2019-08-27",NA,90500,90200,91200,90000,336263
"2019-08-28",NA,91300,91100,93300,90300,372710
"2019-08-29",NA,87600,91700,93500,85700,1116682
"2019-08-30",NA,86400,88100,88400,85700,875355
"2019-09-02",NA,86600,86400,87000,85800,260810
"2019-09-03",NA,86200,86500,87300,86200,247977
"2019-09-04",NA,87100,86000,87100,85900,262797
"2019-09-05",NA,87200,87000,88400,87000,356289
"2019-09-06",NA,87300,87600,87800,87100,148984
"2019-09-09",NA,87300,87300,87700,86800,183019
"2019-09-10",NA,88800,88300,88900,87700,302945
"2019-09-11",NA,88800,89100,89800,88800,529006
"2019-09-16",NA,90600,90100,90600,89600,292159
"2019-09-17",NA,91500,90200,92100,90000,255853
"2019-09-18",NA,90500,91500,91700,90400,179702
"2019-09-19",NA,91200,91000,92800,90800,331003
"2019-09-20",NA,92200,91100,92500,90700,323493
"2019-09-23",NA,91300,92500,92500,90800,188739
"2019-09-24",NA,92000,91000,92000,90600,144241
"2019-09-25",NA,90900,91800,92400,90700,201004
"2019-09-26",NA,90700,91000,91500,90100,171811
"2019-09-27",NA,88900,90800,90800,88700,198687
"2019-09-30","삼성물산, 방글라데시 복합화력 발전소 공사 수주",89700,89100,89900,88600,187463
"2019-10-01",NA,90100,89800,91200,89500,172181
"2019-10-02",NA,87900,89300,89900,87900,202055
"2019-10-04",NA,87900,87500,88900,87200,179539
"2019-10-07",NA,89000,88100,89600,87900,171213
"2019-10-08",NA,89800,89000,89900,88600,196003
"2019-10-10",NA,88500,89000,89700,88000,452991
"2019-10-11",NA,90800,89700,91000,89500,274022
"2019-10-14",NA,91700,91600,92400,91200,207784
"2019-10-15",NA,92100,91900,92700,91300,161111
"2019-10-16",NA,92300,91900,92400,91100,224104
"2019-10-17",NA,93200,92800,94200,92300,342679
"2019-10-18",NA,92300,93900,93900,92300,151493
"2019-10-21",NA,93000,92600,93500,92000,140039
"2019-10-22",NA,92800,93600,93900,92600,214994
"2019-10-23",NA,95000,92600,95900,92500,441951
"2019-10-24",NA,94600,94700,95700,93300,304866
"2019-10-25",NA,95500,94800,96100,94000,304288
"2019-10-28",NA,97400,96300,97600,95700,326270
"2019-10-29",NA,98500,97900,98900,97100,369715
"2019-10-30",NA,97300,99800,100000,97300,447423
"2019-10-31",NA,100000,98200,101500,98200,575545
"2019-11-01",NA,101000,100000,101500,99200,211498
"2019-11-04",NA,104000,103000,105000,101500,371539
"2019-11-05",NA,103500,104000,104500,102500,241838
"2019-11-06",NA,104000,104500,106000,104000,311510
"2019-11-07",NA,103000,103000,103500,101500,390444
"2019-11-08",NA,102500,103500,104000,101500,377804
"2019-11-11",NA,102000,102000,102500,100500,225387
"2019-11-12",NA,102000,103000,103000,101000,189839
"2019-11-13",NA,100500,102000,103000,100500,175104
"2019-11-14",NA,102500,101000,102500,100500,315761
"2019-11-15",NA,104000,102000,104500,102000,267000
"2019-11-18",NA,104000,104000,105500,103000,234521
"2019-11-19",NA,103000,103500,104000,102000,204642
"2019-11-20","삼성물산, 래미안 신상품 발표 `Next Raemian Life`",102500,102000,103500,102000,196959
"2019-11-21",NA,101000,103000,103000,100000,320446
"2019-11-22",NA,101500,101000,102000,100000,182751
"2019-11-25",NA,104000,101500,104000,101500,208912
"2019-11-26",NA,102000,103500,103500,101500,483971
"2019-11-27",NA,101500,103000,103500,101000,185696
"2019-11-28",NA,101500,101000,102000,100500,148563
"2019-11-29",NA,98900,101500,102000,98800,301534
"2019-12-02",NA,100500,99500,100500,99000,244030
"2019-12-03",NA,101500,99300,101500,99000,204605
"2019-12-04",NA,102500,100000,102500,99300,285419
"2019-12-05",NA,100500,101500,102000,99400,268482
"2019-12-06","삼성물산과 삼성엔지니어링, 파트너사와 동반성장을 위한 행사 실시",101000,101000,101000,99400,207075
"2019-12-09",NA,99800,100500,100500,99600,176408
"2019-12-10",NA,100500,99300,101000,97900,192039
"2019-12-11",NA,101000,100500,101500,99900,137557
"2019-12-12",NA,102500,101500,103000,101500,444609
"2019-12-13",NA,104000,103500,104500,103000,233850
"2019-12-16",NA,104000,103500,104500,103000,179817
"2019-12-17",NA,103000,104000,104500,102500,317989
"2019-12-18",NA,103000,103000,104000,102500,184459
"2019-12-19",NA,107500,103500,108000,103000,494970
"2019-12-20",NA,108500,108000,108500,107000,314911
"2019-12-23","삼성물산, 2019년 해외현장 안전경영 돋보여`Safety First`문화 정착",109000,108500,109500,107000,303980
"2019-12-24",NA,108000,108500,109500,108000,277714
"2019-12-26",NA,106500,108500,108500,106500,449185
"2019-12-27",NA,109000,106500,110000,106000,393278
"2019-12-30",NA,108500,109000,110500,108500,236635
"2020-01-02",NA,107500,109000,110000,106500,232765
"2020-01-03",NA,107500,108500,109500,107000,253791
"2020-01-06",NA,106000,106000,107000,105000,236334
"2020-01-07",NA,108000,107000,108000,106500,200467
"2020-01-08",NA,105000,106500,107000,103000,409091
"2020-01-09",NA,106500,106000,107000,106000,446040
"2020-01-10",NA,107000,106000,108000,105500,267976
"2020-01-13",NA,109000,107000,109000,106500,336316
"2020-01-14",NA,107000,109000,110000,106500,343008
"2020-01-15",NA,107000,107000,108000,106000,199124
"2020-01-16",NA,108000,107500,108500,106000,200395
"2020-01-17",NA,107500,108500,109500,107500,181114
"2020-01-20",NA,112000,108000,112000,107500,544608
"2020-01-21",NA,110000,111500,112500,109500,248677
"2020-01-22","삼성물산, 래미안 루센티아에 실외 미세먼지 저감설비 선보여",112000,110000,112500,109500,285391
"2020-01-23",NA,117000,113000,119000,112500,1290170
"2020-01-28",NA,112000,113500,114500,111000,706005
"2020-01-29",NA,113500,112500,114000,110500,384304
"2020-01-30",NA,110500,113500,114000,109000,448272
"2020-01-31",NA,108500,110000,111500,108000,391016
"2020-02-03",NA,107500,106500,108500,105500,379093
"2020-02-04",NA,111000,108500,111000,107500,387111
"2020-02-05",NA,110500,111500,112000,110000,405448
"2020-02-06",NA,115500,112000,117000,112000,608944
"2020-02-07",NA,115000,115500,116500,114000,358446
"2020-02-10",NA,116000,115000,116500,113000,297490
"2020-02-11",NA,119000,117000,120000,116500,543327
"2020-02-12",NA,119500,118500,120000,118000,325990
"2020-02-13",NA,118500,120000,121500,118000,443917
"2020-02-14",NA,119500,118500,120000,117500,310446
"2020-02-17",NA,119500,120000,120000,118500,210755
"2020-02-18",NA,117000,118500,119000,116000,394843
"2020-02-19","삼성물산, 1조1500억원 규모 UAE 발전 프로젝트 수주",117500,118000,118000,115500,245852
"2020-02-20",NA,115500,117500,118000,115000,286186
"2020-02-21",NA,113500,113500,115000,113000,299243
"2020-02-24",NA,109500,110000,112000,109500,445637
"2020-02-25",NA,112000,109500,113000,109000,402750
"2020-02-26",NA,110500,110000,112000,109500,331040
"2020-02-27",NA,109000,113000,113500,108000,657663
"2020-02-28",NA,105500,108000,108000,105000,650896
"2020-03-02",NA,106500,106000,107500,104500,418061
"2020-03-03",NA,106500,109000,109500,106000,407337
"2020-03-04",NA,109000,106500,110000,106000,353320
"2020-03-05",NA,111000,111000,112000,109000,392545
"2020-03-06",NA,108000,109000,110000,107500,318195
"2020-03-09",NA,103500,105500,106000,102500,502867
"2020-03-10","삼성물산, 국내 건설사 최초 CIO 100 Awards 수상",104000,103000,105000,102000,501439
"2020-03-11",NA,101500,104000,105000,101000,380742
"2020-03-12",NA,97300,102000,102000,95800,871598
"2020-03-13","삼성물산, 신반포15차에 래미안만의 차별화된 디자인 적용",93700,90000,94000,88800,1242161
"2020-03-16",NA,89700,95000,96300,89700,472425
"2020-03-17",NA,88200,84900,90300,84600,577410
"2020-03-18",NA,83100,88200,89300,83100,517037
"2020-03-19",NA,76400,84100,85100,74500,896134
"2020-03-20",NA,80500,77700,80500,75300,690277
"2020-03-23",NA,74500,74400,76800,73500,501217
"2020-03-24",NA,83700,76200,83700,75000,684986
"2020-03-25",NA,90000,86400,90000,85000,765916
"2020-03-26",NA,87300,88800,90800,87300,617602
"2020-03-27",NA,89800,90700,91000,87300,590727
"2020-03-30",NA,88300,87200,89200,85900,444420
"2020-03-31","영상으로 만나는 래미안의 가치 새로운 브랜드 필름 공개 `언제나 최초의 새로움!`",89600,88800,89700,87300,454321
"2020-04-01","삼성물산 래미안, 한국산업의 브랜드파워 아파트 부문 19년 연속 1위",84900,87900,89600,84400,483939
"2020-04-02",NA,85600,85000,86100,83000,433092
"2020-04-03",NA,84800,85000,86100,83700,428005
"2020-04-06",NA,87600,84900,87900,84900,352050
"2020-04-07",NA,89000,89100,90200,87200,517486
"2020-04-08","삼성물산, 인공지능과 사물인터넷을 결합한 `래미안 A.IoT 플랫폼` 개발",87700,88300,89500,87400,437768
"2020-04-09",NA,88900,89000,89400,88100,539747
"2020-04-10",NA,94200,88900,96000,88500,1392526
"2020-04-13",NA,92200,95000,96300,92200,556976
"2020-04-14",NA,94000,93400,95000,92400,386674
"2020-04-16",NA,94000,93000,94900,91500,538849
"2020-04-17",NA,95900,95400,98100,95000,565973
"2020-04-20","아파트 커뮤니티도 비대면 서비스 확대, 로봇이 커뮤니티시설 안내하는 최첨단 단지",95200,95500,97700,95000,389522
"2020-04-21",NA,93900,94900,95900,92500,571828
"2020-04-22","래미안, 삼성 계열사 역량 모아 강남 랜드마크 건설한다",97000,93500,97700,92400,474690
"2020-04-23",NA,98700,96300,99500,95800,561986
"2020-04-24",NA,98700,101000,102500,98100,695631
"2020-04-27",NA,99700,99400,101000,98000,351061
"2020-04-28","삼성물산, 반포3주구에 준공 후 분양,사업기간 획기적 단축 등 파격 제안",102500,100000,102500,99300,465534
"2020-04-29",NA,106000,102500,107000,101500,589970
"2020-05-04",NA,99900,103000,103500,99900,625651
"2020-05-06",NA,106500,102000,110500,100000,792744
"2020-05-07","삼성물산, 반포3주구에 랜드마크 단지 디자인 제안",103500,105000,105500,102500,513122
"2020-05-08",NA,105500,104500,108000,104500,510007
"2020-05-11","삼성물산, 반포3주구에 축구장 3배 크기 자연숲 조성",102500,105500,106500,102000,461994
"2020-05-12",NA,100000,102000,102000,99500,645194
"2020-05-13",NA,100000,98000,100500,97800,418968
"2020-05-14","삼성물산, 반포3주구 `미세먼지·바이러스·소음`줄인 클린아파트로 조성",98500,98700,99400,98000,517115
"2020-05-15",NA,98900,98900,99400,97700,390663
"2020-05-18","삼성물산, 반포3주구 안심아파트로 조성",98200,99300,99400,97800,312224
"2020-05-19",NA,102000,99900,102500,99900,593063
"2020-05-20","삼성물산, 대안설계로 반포3주구 주거만족도 높인다",101500,101000,102000,100500,252704
"2020-05-21",NA,100500,102500,102500,100000,332713
"2020-05-22",NA,98800,101000,102000,98200,440759
"2020-05-25","삼성물산, 압도적인 품질관리 노하우로 반포아파트 3주구 입주민 만족도 높인다",99500,99900,100000,98000,259770
"2020-05-26","삼성물산, 반포아파트 3주구 상가를 반포를 대표하는 랜드마크 상가로 조성",102500,99700,103000,99100,433229
"2020-05-27","삼성물산 래미안, 20년간의 역량 모아 반포3주구에 기념비적 작품 선물한다",101000,101500,102500,100500,446462
"2020-05-28",NA,99200,101000,102000,98900,565818
"2020-05-29",NA,99100,99200,100000,98100,537453
"2020-06-01","삼성물산, 반포아파트 3주구 재건축 수주",102000,101500,104000,101000,562918
"2020-06-02",NA,103000,101500,103000,101000,329090
"2020-06-03",NA,107000,103500,108000,103000,1128887
"2020-06-04",NA,107000,108500,110500,106000,1046252
